Word,Count
data,5
-,4
for,4
For,3
is,3
ROI,3
view,3
,2
state,2
Standing,2
sensor,2
initial,2
detected,2
Get,2
Laying,2
points,2
of,2
This,2
condition,2
point,2
angle,2
mode,2
Change,2
Calculate,2
Is,2
bottom,1
Detect,1
/,1
average,1
than,1
image,1
almost,1
50,1
database,1
bigger,1
CervicalDataCreator,1
angle's,1
size,1
--,1
java,1
110,1
on,1
Draw,1
Start,1
continue,1
Service,1
as,1
machine,1
HeartBeat,1
original,1
averageAngle;,1
stop,1
THIS,1
one,1
Print,1
cervical,1
NOT,1
Landscape,1
at,1
index,1
EDIT,1
matrix,1
If,1
Transfer,1
faces,1
*,1
com_mokdoryeong_team7_mokdoryeong_OpencvRoutine,1
30),1
pitch,1
located,1
service,1
bar,1
100,1
Graph,1
side,1
face,1
Data,1
Routine,1
it,1
FILE,1
widget,1
generated,1
lower,1
with,1
Header,1
appropriate,1
area,1
First,1
Execute,1
adding..,1
to,1
send,1
matching,1
Second,1
graph,1
To,1
axis,1
(averageAngle,1
DO,1
Analysis,1
risk,1
from,1
or,1
upper,1
class,1
Handling,1
Alarmer,1
right,1
first,1
Returns,1
Portrait,1
